"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"3" 1 "e1" 3 "c" "2" "的" "-" 424 0.5 "3" "de"
"13" 1 "e1" 15 "c" "2" "的" "-" 464 0.5 "3" "de"
"26" 1 "e1" 11 "c" "3" "的" "-" 379 0.5 "3" "de"
"37" 1 "e1" 5 "a" "2" "的" "-" 369 -0.5 "3" "de"
"46" 1 "e1" 7 "c" "2" "的" "-" 596 0.5 "3" "de"
"59" 1 "e1" 13 "a" "3" "的" "-" 293 -0.5 "3" "de"
"69" 1 "e1" 1 "a" "2" "的" "-" 356 -0.5 "3" "de"
"80" 1 "e1" 19 "c" "2" "的" "-" 394 0.5 "3" "de"
"90" 1 "e1" 9 "a" "2" "的" "-" 334 -0.5 "3" "de"
"101" 1 "e1" 17 "a" "2" "的" "-" 303 -0.5 "3" "de"
"113" 10 "e1" 14 "c" "2" "的" "-" 420 0.5 "3" "de"
"127" 10 "e1" 8 "a" "2" "的" "-" 454 -0.5 "3" "de"
"140" 10 "e1" 2 "c" "2" "的" "-" 404 0.5 "3" "de"
"150" 10 "e1" 20 "a" "2" "的" "-" 520 -0.5 "3" "de"
"161" 10 "e1" 18 "c" "2" "的" "-" 354 0.5 "3" "de"
"171" 10 "e1" 12 "a" "2" "的" "-" 389 -0.5 "3" "de"
"184" 10 "e1" 4 "a" "2" "的" "-" 474 -0.5 "3" "de"
"195" 10 "e1" 6 "c" "2" "的" "-" 389 0.5 "3" "de"
"205" 10 "e1" 10 "c" "2" "的" "-" 328 0.5 "3" "de"
"215" 10 "e1" 16 "a" "2" "的" "-" 329 -0.5 "3" "de"
"229" 11 "e1" 15 "a" "2" "的" "-" 339 -0.5 "3" "de"
"241" 11 "e1" 3 "a" "2" "的" "-" 390 -0.5 "3" "de"
"252" 11 "e1" 11 "a" "3" "的" "-" 510 -0.5 "3" "de"
"263" 11 "e1" 7 "a" "2" "的" "-" 610 -0.5 "3" "de"
"275" 11 "e1" 1 "c" "2" "的" "-" 1130 0.5 "3" "de"
"286" 11 "e1" 19 "a" "2" "的" "-" 505 -0.5 "3" "de"
"296" 11 "e1" 17 "c" "2" "的" "-" 444 0.5 "3" "de"
"308" 11 "e1" 5 "c" "2" "的" "-" 555 0.5 "3" "de"
"318" 11 "e1" 13 "c" "3" "的" "-" 419 0.5 "3" "de"
"328" 11 "e1" 9 "c" "2" "的" "-" 394 0.5 "3" "de"
"339" 12 "e1" 12 "c" "2" "的" "-" 560 0.5 "3" "de"
"353" 12 "e1" 18 "a" "2" "的" "-" 717 -0.5 "3" "de"
"363" 12 "e1" 2 "a" "2" "的" "-" 444 -0.5 "3" "de"
"373" 12 "e1" 4 "c" "2" "的" "-" 429 0.5 "3" "de"
"385" 12 "e1" 10 "a" "2" "的" "-" 354 -0.5 "3" "de"
"395" 12 "e1" 6 "a" "2" "的" "-" 439 -0.5 "3" "de"
"405" 12 "e1" 14 "a" "2" "的" "-" 435 -0.5 "3" "de"
"419" 12 "e1" 8 "c" "2" "的" "-" 338 0.5 "3" "de"
"432" 12 "e1" 20 "c" "2" "的" "-" 333 0.5 "3" "de"
"443" 12 "e1" 16 "c" "2" "的" "-" 308 0.5 "3" "de"
"455" 13 "e1" 7 "c" "2" "的" "-" 563 0.5 "3" "de"
"467" 13 "e1" 5 "a" "2" "的" "-" 531 -0.5 "3" "de"
"477" 13 "e1" 13 "a" "3" "的" "-" 371 -0.5 "3" "de"
