"subj" "item" "condition" "rt" "rcpos"
"58" "1.dat" 22 "b" 995 "1"
"59" "1.dat" 22 "b" 904 "2"
"60" "1.dat" 22 "b" 859 "3"
"61" "1.dat" 22 "b" 2150 "4"
"62" "1.dat" 22 "b" 1491 "5"
"95" "1.dat" 18 "b" 950 "1"
"96" "1.dat" 18 "b" 994 "2"
"97" "1.dat" 18 "b" 814 "3"
"98" "1.dat" 18 "b" 859 "4"
"99" "1.dat" 18 "b" 1130 "5"
"142" "1.dat" 11 "c" 949 "1"
"143" "1.dat" 11 "c" 814 "2"
"144" "1.dat" 11 "c" 678 "3"
"145" "1.dat" 11 "c" 932 "4"
"146" "1.dat" 11 "c" 1537 "5"
"172" "1.dat" 9 "a" 769 "1"
"173" "1.dat" 9 "a" 724 "2"
"174" "1.dat" 9 "a" 543 "3"
"175" "1.dat" 9 "a" 633 "4"
"176" "1.dat" 9 "a" 814 "5"
"240" "1.dat" 19 "c" 1356 "1"
"241" "1.dat" 19 "c" 1537 "2"
"242" "1.dat" 19 "c" 498 "3"
"243" "1.dat" 19 "c" 769 "4"
"244" "1.dat" 19 "c" 543 "5"
"2641" "1.dat" 16 "d" 769 "1"
"2659" "1.dat" 16 "d" 678 "2"
"2661" "1.dat" 16 "d" 543 "3"
"2671" "1.dat" 16 "d" 1221 "4"
"26820" "1.dat" 16 "d" 543 "5"
"314" "1.dat" 17 "a" 724 "1"
"315" "1.dat" 17 "a" 633 "2"
"316" "1.dat" 17 "a" 479 "3"
"317" "1.dat" 17 "a" 543 "4"
"318" "1.dat" 17 "a" 498 "5"
"363" "1.dat" 6 "b" 814 "1"
"364" "1.dat" 6 "b" 769 "2"
"365" "1.dat" 6 "b" 543 "3"
"366" "1.dat" 6 "b" 543 "4"
"367" "1.dat" 6 "b" 769 "5"
"3831" "1.dat" 21 "a" 660 "1"
"384" "1.dat" 21 "a" 678 "2"
"385" "1.dat" 21 "a" 678 "3"
"386" "1.dat" 21 "a" 769 "4"
"387" "1.dat" 21 "a" 1266 "5"
"5341" "1.dat" 12 "d" 814 "1"
"5351" "1.dat" 12 "d" 1176 "2"
"536" "1.dat" 12 "d" 679 "3"
"537" "1.dat" 12 "d" 995 "4"
"538" "1.dat" 12 "d" 661 "5"
"596" "1.dat" 15 "c" 859 "1"
"5971" "1.dat" 15 "c" 995 "2"
"5981" "1.dat" 15 "c" 525 "3"
"5991" "1.dat" 15 "c" 633 "4"
"6001" "1.dat" 15 "c" 995 "5"
"655" "1.dat" 2 "b" 950 "1"
"656" "1.dat" 2 "b" 634 "2"
"657" "1.dat" 2 "b" 498 "3"
"658" "1.dat" 2 "b" 1221 "4"
"659" "1.dat" 2 "b" 1673 "5"
"715" "1.dat" 13 "a" 724 "1"
"716" "1.dat" 13 "a" 571 "2"
"717" "1.dat" 13 "a" 588 "3"
"718" "1.dat" 13 "a" 588 "4"
"719" "1.dat" 13 "a" 1899 "5"
"776" "1.dat" 7 "c" 1357 "1"
"777" "1.dat" 7 "c" 905 "2"
"778" "1.dat" 7 "c" 498 "3"
"779" "1.dat" 7 "c" 1266 "4"
"780" "1.dat" 7 "c" 453 "5"
"8791" "1.dat" 3 "c" 860 "1"
"8801" "1.dat" 3 "c" 588 "2"
"8814" "1.dat" 3 "c" 453 "3"
"8821" "1.dat" 3 "c" 724 "4"
"8831" "1.dat" 3 "c" 498 "5"
"901" "1.dat" 10 "b" 634 "1"
"902" "1.dat" 10 "b" 679 "2"
"903" "1.dat" 10 "b" 498 "3"
"904" "1.dat" 10 "b" 588 "4"
"905" "1.dat" 10 "b" 814 "5"
"9304" "1.dat" 23 "c" 543 "1"
"9311" "1.dat" 23 "c" 769 "2"
"9321" "1.dat" 23 "c" 498 "3"
"9337" "1.dat" 23 "c" 633 "4"
"9341" "1.dat" 23 "c" 498 "5"
"981" "1.dat" 24 "d" 706 "1"
"982" "1.dat" 24 "d" 797 "2"
"983" "1.dat" 24 "d" 543 "3"
"984" "1.dat" 24 "d" 769 "4"
"985" "1.dat" 24 "d" 543 "5"
"1027" "1.dat" 5 "a" 679 "1"
"1028" "1.dat" 5 "a" 679 "2"
"1029" "1.dat" 5 "a" 453 "3"
"1030" "1.dat" 5 "a" 543 "4"
"1031" "1.dat" 5 "a" 588 "5"
"10591" "1.dat" 4 "d" 634 "1"
"10601" "1.dat" 4 "d" 616 "2"
"1061" "1.dat" 4 "d" 525 "3"
"1062" "1.dat" 4 "d" 1312 "4"
"1063" "1.dat" 4 "d" 525 "5"
"10821" "1.dat" 8 "d" 995 "1"
"108310" "1.dat" 8 "d" 815 "2"
"10841" "1.dat" 8 "d" 660 "3"
"1085" "1.dat" 8 "d" 1628 "4"
"1086" "1.dat" 8 "d" 498 "5"
"1185" "1.dat" 14 "b" 815 "1"
"1186" "1.dat" 14 "b" 860 "2"
"1187" "1.dat" 14 "b" 724 "3"
"1188" "1.dat" 14 "b" 643 "4"
"1189" "1.dat" 14 "b" 814 "5"
"1205" "1.dat" 1 "a" 1067 "1"
"1206" "1.dat" 1 "a" 905 "2"
"1207" "1.dat" 1 "a" 588 "3"
"1208" "1.dat" 1 "a" 633 "4"
"1209" "1.dat" 1 "a" 588 "5"
"12303" "1.dat" 20 "d" 588 "1"
"12311" "1.dat" 20 "d" 588 "2"
"12321" "1.dat" 20 "d" 570 "3"
"123310" "1.dat" 20 "d" 1628 "4"
"12345" "1.dat" 20 "d" 498 "5"
"1340" "10.dat" 16 "a" 681 "1"
"1341" "10.dat" 16 "a" 907 "2"
"1342" "10.dat" 16 "a" 816 "3"
"1343" "10.dat" 16 "a" 2040 "4"
"1344" "10.dat" 16 "a" 2040 "5"
"14181" "10.dat" 12 "a" 1723 "1"
"14191" "10.dat" 12 "a" 862 "2"
"14207" "10.dat" 12 "a" 907 "3"
"14211" "10.dat" 12 "a" 1541 "4"
"14221" "10.dat" 12 "a" 1360 "5"
"1441" "10.dat" 18 "c" 2040 "1"
"1442" "10.dat" 18 "c" 1994 "2"
"1443" "10.dat" 18 "c" 409 "3"
"1444" "10.dat" 18 "c" 590 "4"
"1445" "10.dat" 18 "c" 590 "5"
"1462" "10.dat" 1 "b" 681 "1"
"1463" "10.dat" 1 "b" 907 "2"
"1464" "10.dat" 1 "b" 635 "3"
"1465" "10.dat" 1 "b" 816 "4"
"1466" "10.dat" 1 "b" 1043 "5"
"1498" "10.dat" 4 "a" 907 "1"
"1499" "10.dat" 4 "a" 544 "2"
"1500" "10.dat" 4 "a" 409 "3"
"1501" "10.dat" 4 "a" 454 "4"
"1502" "10.dat" 4 "a" 545 "5"
"1581" "10.dat" 3 "d" 364 "1"
"1582" "10.dat" 3 "d" 862 "2"
"1583" "10.dat" 3 "d" 364 "3"
"1584" "10.dat" 3 "d" 1496 "4"
"1585" "10.dat" 3 "d" 549 "5"
"1643" "10.dat" 23 "d" 499 "1"
"1644" "10.dat" 23 "d" 1677 "2"
"1645" "10.dat" 23 "d" 499 "3"
"1646" "10.dat" 23 "d" 1088 "4"
"1647" "10.dat" 23 "d" 590 "5"
"1695" "10.dat" 7 "d" 454 "1"
"1696" "10.dat" 7 "d" 681 "2"
"1697" "10.dat" 7 "d" 681 "3"
"1698" "10.dat" 7 "d" 2040 "4"
"1699" "10.dat" 7 "d" 364 "5"
"1778" "10.dat" 19 "d" 457 "1"
"1779" "10.dat" 19 "d" 1312 "2"
"1780" "10.dat" 19 "d" 364 "3"
"1781" "10.dat" 19 "d" 3807 "4"
"1782" "10.dat" 19 "d" 409 "5"
"1811" "10.dat" 8 "a" 511 "1"
"1812" "10.dat" 8 "a" 827 "2"
"1813" "10.dat" 8 "a" 438 "3"
"1814" "10.dat" 8 "a" 1222 "4"
"1815" "10.dat" 8 "a" 721 "5"
"1848" "10.dat" 5 "b" 364 "1"
"1849" "10.dat" 5 "b" 409 "2"
"1850" "10.dat" 5 "b" 544 "3"
"1851" "10.dat" 5 "b" 1570 "4"
"1852" "10.dat" 5 "b" 1451 "5"
"187310" "10.dat" 2 "c" 544 "1"
"18741" "10.dat" 2 "c" 1134 "2"
"18751" "10.dat" 2 "c" 364 "3"
"18761" "10.dat" 2 "c" 1043 "4"
"18771" "10.dat" 2 "c" 544 "5"
"1896" "10.dat" 20 "a" 545 "1"
"1897" "10.dat" 20 "a" 409 "2"
"1898" "10.dat" 20 "a" 391 "3"
"1899" "10.dat" 20 "a" 454 "4"
"1900" "10.dat" 20 "a" 726 "5"
"19801" "10.dat" 22 "c" 726 "1"
"198110" "10.dat" 22 "c" 771 "2"
"19828" "10.dat" 22 "c" 454 "3"
